skeleton-id,node-id-src,node-id-dst,branch-distance,branch-type,mean-pixel-value,stdev-pixel-value,image-coord-src-0,image-coord-src-1,image-coord-dst-0,image-coord-dst-1,coord-src-0,coord-src-1,coord-dst-0,coord-dst-1,euclidean-distance,root_type,plant,angle,root_id
1,1322,1323,7.82842712474619,2,1.0,0.0,659,848,659,849,659,848,659,849,1.0,Lateral,1,0.0,Lateral_67
1,1323,1327,4.0,2,1.0,0.0,659,849,659,853,659,849,659,853,4.0,Lateral,1,0.0,Lateral_68
1,1327,1543,13.242640687119287,2,1.0,0.0,659,853,671,850,659,853,671,850,12.36931687685298,Lateral,1,104.03624346792648,Lateral_69
1,1518,1543,10.414213562373096,2,1.0,0.0,670,840,671,850,670,840,671,850,10.04987562112089,Lateral,1,5.710593137499642,Lateral_70
1,1518,4409,153.5807358037436,2,1.0,0.0,670,840,770,746,670,840,770,746,137.2443077143821,Lateral,1,133.2285302599659,Lateral_71
1,1543,2338,35.24264068711929,2,1.0,0.0,671,850,705,853,671,850,705,853,34.132096331752024,Lateral,1,84.95754893082909,Lateral_72
8,1550,1946,59.28427124746188,0,1.0,0.0,671,1742,691,1793,671,1742,691,1793,54.78138369920935,Lateral,2,21.412969474871762,Lateral_73
0,1894,3185,70.74011537017758,1,1.0,0.0,689,2691,734,2739,689,2691,734,2739,65.79513659838392,Lateral,4,43.15238973400541,Lateral_74
0,1933,2577,72.94112549695423,1,1.0,0.0,690,3079,713,3017,690,3079,713,3017,66.12866246946176,Lateral,5,159.6467708519312,Lateral_0
0,1933,2745,34.97056274847714,2,1.0,0.0,690,3079,719,3092,690,3079,719,3092,31.78049716414141,Primary,5,65.85445803957835,Primary
1,1942,2012,14.242640687119286,1,1.0,0.0,691,950,694,937,691,950,694,937,13.341664064126334,None,None,167.0053832080835,
1,1967,4168,109.53910524340085,1,1.0,0.0,692,1155,762,1225,692,1155,762,1225,98.99494936611666,Lateral,1,45.0,Lateral_76
1,2012,3056,38.656854249492376,2,1.0,0.0,694,937,731,937,694,937,731,937,37.0,Primary,1,90.0,Primary
0,2079,2082,3.0,2,1.0,0.0,696,3153,696,3156,696,3153,696,3156,3.0,Lateral,5,0.0,Lateral_77
0,2079,4307,84.91168824543138,2,1.0,0.0,696,3153,766,3187,696,3153,766,3187,77.82030583337487,Lateral,5,64.09349200048563,Lateral_78
0,2082,5165,259.00714267493686,2,1.0,0.0,696,3156,789,3374,696,3156,789,3374,237.00843866833097,Lateral,5,23.10336215893069,Lateral_79
0,2082,2128,2.8284271247461903,2,1.0,0.0,696,3156,698,3158,696,3156,698,3158,2.8284271247461903,Lateral,5,45.0,Lateral_80
0,2128,2128,6.242640687119285,3,1.0,0.0,698,3158,698,3158,698,3158,698,3158,0.0,Lateral,5,0.0,Lateral_81
0,2151,2745,28.313708498984763,1,1.0,0.0,699,3105,719,3092,699,3105,719,3092,23.853720883753127,Lateral,5,123.02386755579664,Lateral_0
1,2199,6960,243.09040379562222,1,1.0,0.0,701,986,847,1161,701,986,847,1161,227.9056822459677,Lateral,1,39.83775972905466,Lateral_82
0,2255,2390,4.414213562373095,1,1.0,0.0,702,2648,706,2647,702,2648,706,2647,4.123105625617661,Lateral,4,104.03624346792648,Lateral_83
1,2323,4735,128.1959594928932,2,1.0,0.0,704,1491,778,1412,704,1491,778,1412,108.2450922675019,None,None,136.87174496528877,
1,2323,3107,29.242640687119287,2,1.0,0.0,704,1491,732,1494,704,1491,732,1494,28.160255680657446,Primary,2,83.8844964337146,Lateral_85
1,2338,2887,35.87005768508881,1,1.0,0.0,705,853,725,826,705,853,725,826,33.60059523282288,Lateral,1,143.47114463301483,Lateral_86
1,2338,4411,93.63961030678921,2,1.0,0.0,705,853,770,908,705,853,770,908,85.14693182963201,Lateral,1,49.76364169072618,Lateral_87
0,2387,2390,3.0,1,1.0,0.0,706,2644,706,2647,706,2644,706,2647,3.0,Lateral,4,0.0,Lateral_88
0,2390,2625,11.485281374238571,2,1.0,0.0,706,2647,715,2653,706,2647,715,2653,10.816653826391969,Lateral,4,56.309932474020215,Lateral_89
0,2421,2445,3.414213562373095,1,1.0,0.0,707,2596,708,2593,707,2596,708,2593,3.1622776601683795,Lateral,4,161.565051177078,Lateral_90
